date,maxTemp,meanTemp,minTemp,precipitation
1/1/2015,27,21,16,0
1/2/2015,27,22,16,0
1/3/2015,28,22,16,0
1/4/2015,31,23,16,0
1/5/2015,32,26,20,0
1/6/2015,31,24,18,0
1/7/2015,30,23,16,0
1/8/2015,31,22,14,0
1/9/2015,33,25,17,0
1/10/2015,32,23,14,0
1/11/2015,31,22,14,0
1/12/2015,30,22,13,0
1/13/2015,32,22,13,0
1/14/2015,29,22,14,0
1/15/2015,30,22,14,0
1/16/2015,31,22,14,0
1/17/2015,31,23,15,0
1/18/2015,32,23,15,0
1/19/2015,30,23,16,0
1/20/2015,29,23,17,0
1/21/2015,29,22,16,0
1/22/2015,28,22,17,0
1/23/2015,28,23,19,0
1/24/2015,29,23,17,0
1/25/2015,30,24,18,0
1/26/2015,29,23,16,0
1/27/2015,28,22,16,0
1/28/2015,30,23,16,0
1/29/2015,29,22,16,0
1/30/2015,34,26,18,0
1/31/2015,34,27,21,0
2/1/2015,33,25,17,0
2/2/2015,29,23,17,0
2/3/2015,32,24,16,0
2/4/2015,34,26,17,0
2/5/2015,35,26,17,0
2/6/2015,33,25,17,0
2/7/2015,29,23,17,0
2/8/2015,29,23,17,0
2/9/2015,33,23,14,0
2/10/2015,34,27,19,0
2/11/2015,31,24,17,0
2/12/2015,32,24,17,0
2/13/2015,32,24,16,0
2/14/2015,32,24,17,0
2/15/2015,31,23,16,0
2/16/2015,30,23,17,0
2/17/2015,32,26,19,0
2/18/2015,30,23,17,0
2/19/2015,31,24,18,0
2/20/2015,32,23,16,0
2/21/2015,38,28,18,0
2/22/2015,38,30,21,0
2/23/2015,35,27,19,0
2/24/2015,33,27,21,0
2/25/2015,32,27,22,0
2/26/2015,28,24,20,0
2/27/2015,28,22,16,0
2/28/2015,27,23,18,6.1
3/1/2015,28,23,18,4.06
3/2/2015,28,22,17,0
3/3/2015,28,21,15,0
3/4/2015,29,22,14,0
3/5/2015,31,23,14,0
3/6/2015,33,24,16,0
3/7/2015,34,26,17,0
3/8/2015,32,24,17,0
3/9/2015,34,27,19,0
3/10/2015,36,28,19,0
3/11/2015,35,29,22,0
3/12/2015,38,31,23,0
3/13/2015,37,29,22,0
3/14/2015,32,27,23,0
3/15/2015,31,26,21,0
3/16/2015,31,26,21,0
3/17/2015,33,26,18,0
3/18/2015,35,26,17,0
3/19/2015,37,28,19,0
3/20/2015,36,29,21,0
3/21/2015,35,29,22,0
3/22/2015,34,29,23,0
3/23/2015,34,29,23,0
3/24/2015,33,27,22,0
3/25/2015,41,31,22,0
3/26/2015,34,30,26,0
3/27/2015,33,29,26,0
3/28/2015,33,29,26,0
3/29/2015,33,29,25,0
3/30/2015,35,29,23,0
3/31/2015,35,29,23,0
4/1/2015,33,27,19,0
4/2/2015,33,27,21,0
4/3/2015,32,27,22,0
4/4/2015,32,27,21,0
4/5/2015,32,28,23,0
4/6/2015,32,28,23,0
4/7/2015,32,27,22,0
4/8/2015,32,27,23,0
4/9/2015,32,28,25,0
4/10/2015,32,29,26,0
4/11/2015,32,28,24,0
4/12/2015,32,28,23,0
4/13/2015,32,28,23,0
4/14/2015,32,27,23,0
4/15/2015,33,27,22,0
4/16/2015,34,29,24,0
4/17/2015,34,30,26,0
4/18/2015,33,29,24,0
4/19/2015,34,29,24,0
4/20/2015,33,29,25,0
4/21/2015,35,30,26,0
4/22/2015,34,30,26,0
4/23/2015,33,30,27,0
4/24/2015,34,29,24,0
4/25/2015,33,28,24,0
4/26/2015,33,28,23,0
4/27/2015,34,29,24,0
4/28/2015,33,29,26,0
4/29/2015,33,29,25,0
4/30/2015,33,29,25,0
5/1/2015,34,29,25,0
5/2/2015,34,29,24,0
5/3/2015,34,29,25,0
5/4/2015,34,29,24,0
5/5/2015,34,30,26,0
5/6/2015,34,30,26,0
5/7/2015,34,30,25,0
5/8/2015,34,29,25,0
5/9/2015,36,30,24,0
5/10/2015,34,30,25,0
5/11/2015,34,29,24,0
5/12/2015,34,30,27,0
5/13/2015,33,29,26,0
5/14/2015,35,31,27,0
5/15/2015,35,30,26,0
5/16/2015,34,30,26,0
5/17/2015,34,31,27,0
5/18/2015,36,31,26,0
5/19/2015,34,31,28,0
5/20/2015,34,31,28,0
5/21/2015,34,31,28,0
5/22/2015,34,31,28,0
5/23/2015,35,32,29,0
5/24/2015,34,32,29,0
5/25/2015,35,32,29,0
5/26/2015,34,32,29,0
5/27/2015,34,31,27,0
5/28/2015,34,31,28,0
5/29/2015,34,31,28,0
5/30/2015,34,32,29,0
5/31/2015,34,30,27,0
6/1/2015,34,32,29,0
6/2/2015,34,31,28,0
6/3/2015,34,31,28,0
6/4/2015,36,32,28,0
6/5/2015,35,31,27,0
6/6/2015,34,31,27,0.25
6/7/2015,37,32,27,5.08
6/8/2015,36,31,26,0
6/9/2015,36,31,26,0
6/10/2015,35,31,27,0.76
6/11/2015,35,30,26,38.1
6/12/2015,31,27,23,4.06
6/13/2015,29,26,23,7.11
6/14/2015,28,26,24,55.12
6/15/2015,29,27,23,6.1
6/16/2015,32,29,25,45.97
6/17/2015,31,27,24,14.99
6/18/2015,27,26,24,191.01
6/19/2015,27,25,24,157.99
6/20/2015,28,26,24,95
6/21/2015,28,26,24,91.95
6/22/2015,31,28,24,51.05
6/23/2015,28,26,24,52.07
6/24/2015,29,28,26,7.87
6/25/2015,31,29,28,5.08
6/26/2015,33,30,27,0.51
6/27/2015,32,30,28,0.25
6/28/2015,33,30,27,1.02
6/29/2015,32,30,27,0
6/30/2015,32,29,26,6.1
7/1/2015,33,30,27,0
7/2/2015,32,30,27,0
7/3/2015,33,30,28,0.25
7/4/2015,32,30,28,0
7/5/2015,32,30,27,0
7/6/2015,32,30,28,0.25
7/7/2015,32,30,28,4.06
7/8/2015,32,29,26,0.25
7/9/2015,33,30,28,0.51
7/10/2015,32,30,28,2.03
7/11/2015,32,29,26,3.05
7/12/2015,32,29,26,0
7/13/2015,32,30,28,0
7/14/2015,33,29,26,1.02
7/15/2015,33,30,27,0
7/16/2015,32,30,28,3.05
7/17/2015,31,29,26,3.05
7/18/2015,32,29,26,2.03
7/19/2015,31,29,26,0.51
7/20/2015,31,28,25,10.92
7/21/2015,29,27,24,42.93
7/22/2015,29,27,24,43.94
7/23/2015,30,27,24,26.92
7/24/2015,30,27,24,25.91
7/25/2015,31,28,25,8.89
7/26/2015,31,28,25,6.1
7/27/2015,29,27,25,27.94
7/28/2015,29,27,25,27.94
7/29/2015,29,27,24,13.97
7/30/2015,31,27,23,8.89
7/31/2015,31,28,25,1.02
8/1/2015,31,29,26,2.03
8/2/2015,32,29,26,0.51
8/3/2015,31,28,26,0
8/4/2015,31,29,27,2.03
8/5/2015,29,27,26,3.05
8/6/2015,31,27,23,1.02
8/7/2015,32,29,26,5.08
8/8/2015,30,27,24,4.06
8/9/2015,29,27,24,4.06
8/10/2015,29,27,24,2.03
8/11/2015,31,28,24,6.1
8/12/2015,31,27,23,0.25
8/13/2015,31,28,24,3.05
8/14/2015,31,28,25,4.06
8/15/2015,31,28,24,7.11
8/16/2015,32,28,25,7.87
8/17/2015,31,28,25,9.91
8/18/2015,32,28,24,0
8/19/2015,32,28,25,0
8/20/2015,32,29,26,0
8/21/2015,32,29,25,1.02
8/22/2015,31,28,24,0
8/23/2015,32,29,26,0.25
8/24/2015,32,29,26,1.02
8/25/2015,30,28,25,8.89
8/26/2015,32,28,24,0
8/27/2015,32,29,26,2.03
8/28/2015,28,27,24,4.06
8/29/2015,31,28,24,5.08
8/30/2015,29,27,24,9.91
8/31/2015,31,27,23,4.06
9/1/2015,32,28,24,2.03
9/2/2015,31,27,23,0.51
9/3/2015,32,28,23,0
9/4/2015,32,28,23,0
9/5/2015,32,28,23,0
9/6/2015,32,28,23,0
9/7/2015,32,28,24,0
9/8/2015,32,28,23,0
9/9/2015,31,28,24,0
9/10/2015,31,28,24,32
9/11/2015,32,28,24,0
9/12/2015,32,29,25,17.02
9/13/2015,31,27,23,20.07
9/14/2015,31,27,23,7.87
9/15/2015,31,27,24,0
9/16/2015,31,28,24,0.76
9/17/2015,31,28,26,0
9/18/2015,29,28,27,1.02
9/19/2015,31,28,26,6.1
9/20/2015,29,27,24,22.1
9/21/2015,32,28,24,13.97
9/22/2015,32,28,24,3.05
9/23/2015,32,29,25,0
9/24/2015,32,28,24,0
9/25/2015,32,28,23,0
9/26/2015,32,27,22,0
9/27/2015,33,27,21,0
9/28/2015,34,29,23,0
9/29/2015,36,30,24,0
9/30/2015,37,31,24,0
10/1/2015,37,30,24,0
10/2/2015,34,30,26,4.06
